,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
3175,Pacific County,WA,176923.19471550817,1696.937396787269,9.591378900408948
3176,Pend Oreille County,WA,218009.12832929782,1340.9443099273608,6.1508631322166245
3177,Pierce County,WA,261318.9170858225,3045.679032441847,11.655026993095888
3178,San Juan County,WA,584908.2709512507,3326.1639583713713,5.686642031855609
3179,Skagit County,WA,292131.6104622471,2745.9220266491197,9.399605959465255
3180,Skamania County,WA,270662.13863848307,2042.679515076158,7.546971753609455
3181,Snohomish County,WA,313209.6354397308,3257.885705429103,10.401613924984119
3182,Spokane County,WA,217007.72556280738,2276.2611325686803,10.489309201620449
3183,Stevens County,WA,206940.89999258655,1523.1225442953519,7.360181309494238
3184,Thurston County,WA,259094.60625018983,2728.3293345886354,10.530243659160067
3185,Wahkiakum County,WA,197143.7452615618,1603.1842304776346,8.132057288201556
3186,Walla Walla County,WA,213944.59380049948,2281.0268840899075,10.661764541790362
3187,Whatcom County,WA,305938.9377699568,2505.4351303791395,8.189330683572678
3188,Whitman County,WA,205121.09213250517,1917.5336438923396,9.348300674284832
3189,Yakima County,WA,180906.5899730152,1804.944508693976,9.97721812656581
